id	text	title
1	Albert Einstein was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics. His work is also known for its influence on the philosophy of science. He received the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect.	Albert Einstein
2	The Great Wall of China is a series of fortifications made of stone, brick, tamped earth, and other materials, built along the historical northern borders of China to protect against various nomadic groups. Several walls were being built as early as the 7th century BC.	Great Wall of China
3	Python is a high-level, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation. Python is dynamically typed and garbage-collected. It supports multiple programming paradigms, including structured, object-oriented and functional programming.	Python (programming language)
4	The mitochondria are membrane-bound organelles found in the cytoplasm of eukaryotic cells. They generate most of the cell's supply of adenosine triphosphate (ATP), used as a source of chemical energy. Mitochondria are sometimes referred to as the powerhouse of the cell.	Mitochondria
5	Water covers approximately 71 percent of the Earth's surface, mostly in seas and oceans. The remaining 29 percent is land consisting of continents and islands. Earth's polar regions are mostly covered with ice.	Earth
6	The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower from 1887 to 1889. Locally nicknamed La dame de fer, it was constructed as the centerpiece of the 1889 World's Fair.	Eiffel Tower
7	Machine learning is a subset of artificial intelligence that focuses on the development of algorithms and statistical models that enable computers to perform tasks without explicit instructions, relying on patterns and inference instead. It is seen as a part of artificial intelligence.	Machine Learning


# id	text	title
# 1	Albert Einstein was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics. His work is also known for its influence on the philosophy of science. He received the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect.	Albert Einstein
# 2	The Great Wall of China is a series of fortifications made of stone, brick, tamped earth, and other materials, built along the historical northern borders of China to protect against various nomadic groups. Several walls were being built as early as the 7th century BC.	Great Wall of China
# 3	Python is a high-level, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation. Python is dynamically typed and garbage-collected. It supports multiple programming paradigms, including structured, object-oriented and functional programming.	Python (programming language)
# 4	The mitochondria are membrane-bound organelles found in the cytoplasm of eukaryotic cells. They generate most of the cell's supply of adenosine triphosphate (ATP), used as a source of chemical energy. Mitochondria are sometimes referred to as the powerhouse of the cell.	Mitochondria
# 5	Water covers approximately 71 percent of the Earth's surface, mostly in seas and oceans. The remaining 29 percent is land consisting of continents and islands. Earth's polar regions are mostly covered with ice.	Earth
# 6	The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower from 1887 to 1889. Locally nicknamed La dame de fer, it was constructed as the centerpiece of the 1889 World's Fair.	Eiffel Tower
# 7	Machine learning is a subset of artificial intelligence that focuses on the development of algorithms and statistical models that enable computers to perform tasks without explicit instructions, relying on patterns and inference instead. It is seen as a part of artificial intelligence.	Machine Learning
